Produto;Mes;Modelo;Previsto;Real;Erro %;Bias;MediaHistorica
M - Manual;2011-07-01 00:00:00;ARIMA;12315,39;11107,8;10,9;1207,59;15521,69
M - Manual;2011-08-01 00:00:00;ARIMA;13336,8;3312,04;302,7;10024,76;15521,69
M - Manual;2011-09-01 00:00:00;ARIMA;13478,03;6085,19;121,5;7392,84;15521,69
M - Manual;2011-10-01 00:00:00;ARIMA;13497,55;21548,67;37,4;-8051,12;15521,69
M - Manual;2011-11-01 00:00:00;ARIMA;13500,25;3312,42;307,6;10187,83;15521,69
M - Manual;2011-12-01 00:00:00;ARIMA;13500,62;438,1;2981,6;13062,52;15521,69
85123A - WHITE HANGING HEART T-LIGHT HOLDER;2011-07-01 00:00:00;Prophet;8888,9;8504,11;4,5;384,79;11626,45
85123A - WHITE HANGING HEART T-LIGHT HOLDER;2011-08-01 00:00:00;Prophet;8615,43;5620,57;53,3;2994,86;11626,45
85123A - WHITE HANGING HEART T-LIGHT HOLDER;2011-09-01 00:00:00;Prophet;8341,97;6957,46;19,9;1384,51;11626,45
85123A - WHITE HANGING HEART T-LIGHT HOLDER;2011-10-01 00:00:00;Prophet;8077,32;4761,95;69,6;3315,37;11626,45
85123A - WHITE HANGING HEART T-LIGHT HOLDER;2011-11-01 00:00:00;Prophet;7803,86;14136,7;44,8;-6332,84;11626,45
85123A - WHITE HANGING HEART T-LIGHT HOLDER;2011-12-01 00:00:00;Prophet;7539,21;2226,41;238,6;5312,8;11626,45
DOT - DOTCOM POSTAGE;2011-07-01 00:00:00;LightGBM (pooled);18795,17;12841,0;46,4;5954,17;10868,7
DOT - DOTCOM POSTAGE;2011-08-01 00:00:00;LightGBM (pooled);15881,0;13400,52;18,5;2480,48;10868,7
DOT - DOTCOM POSTAGE;2011-09-01 00:00:00;LightGBM (pooled);16771,3;15177,4;10,5;1593,9;10868,7
DOT - DOTCOM POSTAGE;2011-10-01 00:00:00;LightGBM (pooled);16771,3;17955,13;6,6;-1183,83;10868,7
DOT - DOTCOM POSTAGE;2011-11-01 00:00:00;LightGBM (pooled);16771,3;36905,4;54,6;-20134,1;10868,7
DOT - DOTCOM POSTAGE;2011-12-01 00:00:00;LightGBM (pooled);16771,3;19872,69;15,6;-3101,39;10868,7
85099B - JUMBO BAG RED RETROSPOT;2011-07-01 00:00:00;Holt;7149,14;6253,87;14,3;895,27;7008,74
85099B - JUMBO BAG RED RETROSPOT;2011-08-01 00:00:00;Holt;7149,31;10796,56;33,8;-3647,25;7008,74
85099B - JUMBO BAG RED RETROSPOT;2011-09-01 00:00:00;Holt;7149,45;8884,33;19,5;-1734,88;7008,74
85099B - JUMBO BAG RED RETROSPOT;2011-10-01 00:00:00;Holt;7149,56;10485,81;31,8;-3336,25;7008,74
85099B - JUMBO BAG RED RETROSPOT;2011-11-01 00:00:00;Holt;7149,64;11641,37;38,6;-4491,73;7008,74
85099B - JUMBO BAG RED RETROSPOT;2011-12-01 00:00:00;Holt;7149,71;2226,9;221,1;4922,81;7008,74
POST - POSTAGE;2011-07-01 00:00:00;Ensemble;7112,96;5324,65;33,6;1788,31;4729,2
POST - POSTAGE;2011-08-01 00:00:00;Ensemble;7321,95;5358,6;36,6;1963,35;4729,2
POST - POSTAGE;2011-09-01 00:00:00;Ensemble;7518,31;5897,22;27,5;1621,09;4729,2
POST - POSTAGE;2011-10-01 00:00:00;Ensemble;7699,87;8025,96;4,1;-326,09;4729,2
POST - POSTAGE;2011-11-01 00:00:00;Ensemble;7876,85;10352,98;23,9;-2476,13;4729,2
POST - POSTAGE;2011-12-01 00:00:00;Ensemble;8042,2;2783,29;188,9;5258,91;4729,2
20685 - DOORMAT RED RETROSPOT;2011-07-01 00:00:00;Holt;2498,01;3496,36;28,6;-998,35;2977,37
20685 - DOORMAT RED RETROSPOT;2011-08-01 00:00:00;Holt;2495,6;1372,0;81,9;1123,6;2977,37
20685 - DOORMAT RED RETROSPOT;2011-09-01 00:00:00;Holt;2493,68;1497,35;66,5;996,33;2977,37
20685 - DOORMAT RED RETROSPOT;2011-10-01 00:00:00;Holt;2492,15;1604,73;55,3;887,42;2977,37
20685 - DOORMAT RED RETROSPOT;2011-11-01 00:00:00;Holt;2490,92;2662,99;6,5;-172,07;2977,37
20685 - DOORMAT RED RETROSPOT;2011-12-01 00:00:00;Holt;2489,93;656,06;279,5;1833,87;2977,37
21843 - RED RETROSPOT CAKE STAND;2011-07-01 00:00:00;LightGBM (pooled);1173,76;2921,94;59,8;-1748,18;2913,41
21843 - RED RETROSPOT CAKE STAND;2011-08-01 00:00:00;LightGBM (pooled);1426,88;1498,71;4,8;-71,83;2913,41
21843 - RED RETROSPOT CAKE STAND;2011-09-01 00:00:00;LightGBM (pooled);1651,22;1011,63;63,2;639,59;2913,41
21843 - RED RETROSPOT CAKE STAND;2011-10-01 00:00:00;LightGBM (pooled);2113,89;1212,09;74,4;901,8;2913,41
21843 - RED RETROSPOT CAKE STAND;2011-11-01 00:00:00;LightGBM (pooled);2515,45;3484,62;27,8;-969,17;2913,41
21843 - RED RETROSPOT CAKE STAND;2011-12-01 00:00:00;LightGBM (pooled);2339,68;1136,4;105,9;1203,28;2913,41
20725 - LUNCH BAG RED RETROSPOT;2011-07-01 00:00:00;ARIMA;3397,85;2927,83;16,1;470,02;2878,44
20725 - LUNCH BAG RED RETROSPOT;2011-08-01 00:00:00;ARIMA;3329,68;4015,21;17,1;-685,53;2878,44
20725 - LUNCH BAG RED RETROSPOT;2011-09-01 00:00:00;ARIMA;3345,5;3076,72;8,7;268,78;2878,44
20725 - LUNCH BAG RED RETROSPOT;2011-10-01 00:00:00;ARIMA;3341,83;2820,35;18,5;521,48;2878,44
20725 - LUNCH BAG RED RETROSPOT;2011-11-01 00:00:00;ARIMA;3342,68;3986,11;16,1;-643,43;2878,44
