Produto;Mes;Modelo;Previsto;Real;Erro %;Bias;MediaHistorica
Health Beauty - Health Beauty;2018-03-01 00:00:00;Holt;82330,87;84488,57;2,6;-2157,7;39586,84
Health Beauty - Health Beauty;2018-04-01 00:00:00;Holt;87746,16;91058,45;3,6;-3312,29;39586,84
Health Beauty - Health Beauty;2018-05-01 00:00:00;Holt;93134,37;94534,38;1,5;-1400,01;39586,84
Health Beauty - Health Beauty;2018-06-01 00:00:00;Holt;98495,64;106745,72;7,7;-8250,08;39586,84
Health Beauty - Health Beauty;2018-07-01 00:00:00;Holt;103830,11;103524,22;0,3;305,89;39586,84
Health Beauty - Health Beauty;2018-08-01 00:00:00;Holt;109137,9;119391,01;8,6;-10253,11;39586,84
Bed Bath Table - Bed Bath Table;2018-03-01 00:00:00;ARIMA;79088,02;67786,35;16,7;11301,67;41790,02
Bed Bath Table - Bed Bath Table;2018-04-01 00:00:00;ARIMA;61555,91;71379,61;13,8;-9823,7;41790,02
Bed Bath Table - Bed Bath Table;2018-05-01 00:00:00;ARIMA;77973,99;71265,07;9,4;6708,92;41790,02
Bed Bath Table - Bed Bath Table;2018-06-01 00:00:00;ARIMA;62599,16;70857,08;11,7;-8257,92;41790,02
Bed Bath Table - Bed Bath Table;2018-07-01 00:00:00;ARIMA;76997,03;54405,23;41,5;22591,8;41790,02
Bed Bath Table - Bed Bath Table;2018-08-01 00:00:00;ARIMA;63514,04;60891,09;4,3;2622,95;41790,02
Watches Gifts - Watches Gifts;2018-03-01 00:00:00;Prophet;82265,14;95661,18;14,0;-13396,04;40837,89
Watches Gifts - Watches Gifts;2018-04-01 00:00:00;Prophet;87481,59;88623,07;1,3;-1141,48;40837,89
Watches Gifts - Watches Gifts;2018-05-01 00:00:00;Prophet;92529,76;119364,98;22,5;-26835,22;40837,89
Watches Gifts - Watches Gifts;2018-06-01 00:00:00;Prophet;97746,21;85027,57;15,0;12718,64;40837,89
Watches Gifts - Watches Gifts;2018-07-01 00:00:00;Prophet;102794,38;95164,79;8,0;7629,59;40837,89
Watches Gifts - Watches Gifts;2018-08-01 00:00:00;Prophet;108010,82;69767,06;54,8;38243,76;40837,89
Sports Leisure - Sports Leisure;2018-03-01 00:00:00;ARIMA;85934,32;81656,96;5,2;4277,36;39893,34
Sports Leisure - Sports Leisure;2018-04-01 00:00:00;ARIMA;74542,01;65793,52;13,3;8748,49;39893,34
Sports Leisure - Sports Leisure;2018-05-01 00:00:00;ARIMA;85933,26;59209,92;45,1;26723,34;39893,34
Sports Leisure - Sports Leisure;2018-06-01 00:00:00;ARIMA;74543,07;44916,01;66,0;29627,06;39893,34
Sports Leisure - Sports Leisure;2018-07-01 00:00:00;ARIMA;85932,2;54015,89;59,1;31916,31;39893,34
Sports Leisure - Sports Leisure;2018-08-01 00:00:00;ARIMA;74544,12;50860,18;46,6;23683,94;39893,34
Computers Accessories - Computers Accessories;2018-03-01 00:00:00;Prophet;79652,46;84708,39;6,0;-5055,93;38206,08
Computers Accessories - Computers Accessories;2018-04-01 00:00:00;Prophet;84917,94;57370,9;48,0;27547,04;38206,08
Computers Accessories - Computers Accessories;2018-05-01 00:00:00;Prophet;90013,57;50631,83;77,8;39381,74;38206,08
Computers Accessories - Computers Accessories;2018-06-01 00:00:00;Prophet;95279,06;41806,37;127,9;53472,69;38206,08
Computers Accessories - Computers Accessories;2018-07-01 00:00:00;Prophet;100374,69;41063,31;144,4;59311,38;38206,08
Computers Accessories - Computers Accessories;2018-08-01 00:00:00;Prophet;105640,17;40052,64;163,8;65587,53;38206,08
Cool Stuff - Cool Stuff;2018-03-01 00:00:00;Holt;30845,16;37791,24;18,4;-6946,08;30078,34
Cool Stuff - Cool Stuff;2018-04-01 00:00:00;Holt;29590,38;35025,41;15,5;-5435,03;30078,34
Cool Stuff - Cool Stuff;2018-05-01 00:00:00;Holt;28586,56;29949,12;4,5;-1362,56;30078,34
Cool Stuff - Cool Stuff;2018-06-01 00:00:00;Holt;27783,51;19316,37;43,8;8467,14;30078,34
Cool Stuff - Cool Stuff;2018-07-01 00:00:00;Holt;27141,06;21152,01;28,3;5989,05;30078,34
Cool Stuff - Cool Stuff;2018-08-01 00:00:00;Holt;26627,1;15794,89;68,6;10832,21;30078,34
Furniture Decor - Furniture Decor;2018-03-01 00:00:00;Ensemble;48625,79;51319,97;5,2;-2694,18;28138,62
Furniture Decor - Furniture Decor;2018-04-01 00:00:00;Ensemble;47513,46;56217,62;15,5;-8704,16;28138,62
Furniture Decor - Furniture Decor;2018-05-01 00:00:00;Ensemble;50894,84;53706,45;5,2;-2811,61;28138,62
Furniture Decor - Furniture Decor;2018-06-01 00:00:00;Ensemble;51220,05;42042,22;21,8;9177,83;28138,62
Furniture Decor - Furniture Decor;2018-07-01 00:00:00;Ensemble;53610,18;45393,59;18,1;8216,59;28138,62
Furniture Decor - Furniture Decor;2018-08-01 00:00:00;Ensemble;54596,94;41168,55;32,6;13428,39;28138,62
Toys - Toys;2018-03-01 00:00:00;Prophet;41142,61;22817,55;80,3;18325,06;22583,29
Toys - Toys;2018-04-01 00:00:00;Prophet;43476,92;23140,41;87,9;20336,51;22583,29
Toys - Toys;2018-05-01 00:00:00;Prophet;45735,94;31538,41;45,0;14197,53;22583,29
Toys - Toys;2018-06-01 00:00:00;Prophet;48070,25;21094,95;127,9;26975,3;22583,29
Toys - Toys;2018-07-01 00:00:00;Prophet;50329,27;17022,0;195,7;33307,27;22583,29
Toys - Toys;2018-08-01 00:00:00;Prophet;52663,58;16923,75;211,2;35739,83;22583,29
Auto - Auto;2018-03-01 00:00:00;Prophet;39623,17;44081,96;10,1;-4458,79;20838,79
Auto - Auto;2018-04-01 00:00:00;Prophet;41990,55;47989,41;12,5;-5998,86;20838,79
Auto - Auto;2018-05-01 00:00:00;Prophet;44281,55;40851,44;8,4;3430,11;20838,79
