Produto;Mes;Modelo;Previsto;Real;Erro %;Bias;MediaHistorica
99a4788cb248 - Bed Bath Table - 99a4788c;2018-03-01 00:00:00;Média Móvel;1661,1;1477,3;12,4;183,8;2679,24
99a4788cb248 - Bed Bath Table - 99a4788c;2018-04-01 00:00:00;Média Móvel;1661,1;510,27;225,5;1150,83;2679,24
99a4788cb248 - Bed Bath Table - 99a4788c;2018-05-01 00:00:00;Média Móvel;1661,1;2174,89;23,6;-513,79;2679,24
99a4788cb248 - Bed Bath Table - 99a4788c;2018-06-01 00:00:00;Média Móvel;1661,1;1757,8;5,5;-96,7;2679,24
99a4788cb248 - Bed Bath Table - 99a4788c;2018-07-01 00:00:00;Média Móvel;1661,1;781,3;112,6;879,8;2679,24
99a4788cb248 - Bed Bath Table - 99a4788c;2018-08-01 00:00:00;Média Móvel;1661,1;518,0;220,7;1143,1;2679,24
6cdd53843498 - Health Beauty - 6cdd5384;2018-03-01 00:00:00;Holt;5028,4;5598,4;10,2;-570,0;2252,54
6cdd53843498 - Health Beauty - 6cdd5384;2018-04-01 00:00:00;Holt;5377,78;2449,3;119,6;2928,48;2252,54
6cdd53843498 - Health Beauty - 6cdd5384;2018-05-01 00:00:00;Holt;5657,27;3513,1;61,0;2144,17;2252,54
6cdd53843498 - Health Beauty - 6cdd5384;2018-06-01 00:00:00;Holt;5880,87;3276,0;79,5;2604,87;2252,54
6cdd53843498 - Health Beauty - 6cdd5384;2018-07-01 00:00:00;Holt;6059,75;4004,0;51,3;2055,75;2252,54
6cdd53843498 - Health Beauty - 6cdd5384;2018-08-01 00:00:00;Holt;6202,86;3276,0;89,3;2926,86;2252,54
d1c427060a0f - Computers Accessories - d1c42706;2018-03-01 00:00:00;Média Móvel;4828,56;5698,0;15,3;-869,44;2087,92
d1c427060a0f - Computers Accessories - d1c42706;2018-04-01 00:00:00;Média Móvel;4828,56;6526,0;26,0;-1697,44;2087,92
d1c427060a0f - Computers Accessories - d1c42706;2018-05-01 00:00:00;Média Móvel;4828,56;2975,0;62,3;1853,56;2087,92
d1c427060a0f - Computers Accessories - d1c42706;2018-06-01 00:00:00;Média Móvel;4828,56;3086,76;56,4;1741,8;2087,92
d1c427060a0f - Computers Accessories - d1c42706;2018-07-01 00:00:00;Média Móvel;4828,56;1079,91;347,1;3748,65;2087,92
d1c427060a0f - Computers Accessories - d1c42706;2018-08-01 00:00:00;Média Móvel;4828,56;1199,9;302,4;3628,66;2087,92
f4f67ccaece9 - Auto - f4f67cca;2018-03-01 00:00:00;Média Móvel;1679,63;1145,2;46,7;534,43;999,55
c4baedd846ed - Garden Tools - c4baedd8;2018-03-01 00:00:00;Média Móvel;1558,24;660,0;136,1;898,24;967,43
c4baedd846ed - Garden Tools - c4baedd8;2018-04-01 00:00:00;Média Móvel;1558,24;550,0;183,3;1008,24;967,43
c4baedd846ed - Garden Tools - c4baedd8;2018-05-01 00:00:00;Média Móvel;1558,24;220,0;608,3;1338,24;967,43
c4baedd846ed - Garden Tools - c4baedd8;2018-06-01 00:00:00;Média Móvel;1558,24;539,94;188,6;1018,3;967,43
c4baedd846ed - Garden Tools - c4baedd8;2018-07-01 00:00:00;Média Móvel;1558,24;699,93;122,6;858,31;967,43
c4baedd846ed - Garden Tools - c4baedd8;2018-08-01 00:00:00;Média Móvel;1558,24;589,94;164,1;968,3;967,43
c6dd917a0be2 - Cool Stuff - c6dd917a;2018-03-01 00:00:00;Média Móvel;233,31;199,98;16,7;33,33;876,83
c6dd917a0be2 - Cool Stuff - c6dd917a;2018-04-01 00:00:00;Média Móvel;233,31;269,59;13,5;-36,28;876,83
4fcb3d9a5f48 - Auto - 4fcb3d9a;2018-03-01 00:00:00;Prophet;1054,64;719,0;46,7;335,64;802,68
4fcb3d9a5f48 - Auto - 4fcb3d9a;2018-04-01 00:00:00;Prophet;1089,46;862,8;26,3;226,66;802,68
