Produto;Mes;Modelo;Previsto;Real;Erro %;Bias;MediaHistorica
LOJA0817 - Loja 817 (Tipo a, Sortimento a);2015-02-01 00:00:00;ExponentialSmoothing;484690,73;453301,0;6,9;31389,73;559769,64
LOJA0817 - Loja 817 (Tipo a, Sortimento a);2015-03-01 00:00:00;ExponentialSmoothing;522522,02;504496,0;3,6;18026,02;559769,64
LOJA0817 - Loja 817 (Tipo a, Sortimento a);2015-04-01 00:00:00;ExponentialSmoothing;522623,32;497311,0;5,1;25312,32;559769,64
LOJA0817 - Loja 817 (Tipo a, Sortimento a);2015-05-01 00:00:00;ExponentialSmoothing;519373,09;474777,0;9,4;44596,09;559769,64
LOJA0817 - Loja 817 (Tipo a, Sortimento a);2015-06-01 00:00:00;ExponentialSmoothing;524118,56;570168,0;8,1;-46049,44;559769,64
LOJA0817 - Loja 817 (Tipo a, Sortimento a);2015-07-01 00:00:00;ExponentialSmoothing;539351,38;563573,0;4,3;-24221,62;559769,64
LOJA1114 - Loja 1114 (Tipo a, Sortimento c);2015-02-01 00:00:00;Holt;532046,09;483365,0;10,1;48681,09;515081,08
LOJA1114 - Loja 1114 (Tipo a, Sortimento c);2015-03-01 00:00:00;Holt;532074,25;542811,0;2,0;-10736,75;515081,08
LOJA1114 - Loja 1114 (Tipo a, Sortimento c);2015-04-01 00:00:00;Holt;532096,78;558689,0;4,8;-26592,22;515081,08
LOJA1114 - Loja 1114 (Tipo a, Sortimento c);2015-05-01 00:00:00;Holt;532114,8;536936,0;0,9;-4821,2;515081,08
LOJA1114 - Loja 1114 (Tipo a, Sortimento c);2015-06-01 00:00:00;Holt;532129,22;577169,0;7,8;-45039,78;515081,08
LOJA1114 - Loja 1114 (Tipo a, Sortimento c);2015-07-01 00:00:00;Holt;532140,75;626588,0;15,1;-94447,25;515081,08
LOJA0251 - Loja 251 (Tipo a, Sortimento c);2015-02-01 00:00:00;ARIMA;497129,42;450724,0;10,3;46405,42;479511,84
LOJA0251 - Loja 251 (Tipo a, Sortimento c);2015-03-01 00:00:00;ARIMA;486131,62;504136,0;3,6;-18004,38;479511,84
LOJA0251 - Loja 251 (Tipo a, Sortimento c);2015-04-01 00:00:00;ARIMA;493257,15;474752,0;3,9;18505,15;479511,84
LOJA0251 - Loja 251 (Tipo a, Sortimento c);2015-05-01 00:00:00;ARIMA;488640,48;470570,0;3,8;18070,48;479511,84
LOJA0251 - Loja 251 (Tipo a, Sortimento c);2015-06-01 00:00:00;ARIMA;491631,64;518583,0;5,2;-26951,36;479511,84
LOJA0251 - Loja 251 (Tipo a, Sortimento c);2015-07-01 00:00:00;ARIMA;489693,65;490309,0;0,1;-615,35;479511,84
LOJA0513 - Loja 513 (Tipo a, Sortimento a);2015-02-01 00:00:00;Holt;460265,11;404005,0;13,9;56260,11;463862,96
