Produto;Data;Quantidade;Valor Total;Categoria
Safco Industrial Wire Shelving;01/01/2009;9;872,48;Office Supplies
"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H";01/01/2009;32;180,36;Office Supplies
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs;02/01/2009;4;1239,06;Furniture
Hon Valutask Swivel Chairs;02/01/2009;43;4083,19;Furniture
Dual Level, Single-Width Filing Carts;02/01/2009;32;4902,38;Office Supplies
White GlueTop Scratch Pads;02/01/2009;43;614,8;Office Supplies
"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""";02/01/2009;16;137,63;Office Supplies
"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets";02/01/2009;3;124,81;Office Supplies
T18;03/01/2009;8;754,66;Technology
Fellowes Mobile Numeric Keypad, Graphite;03/01/2009;12;522,49;Technology
Polycom ViaVideo Desktop Video Communications Unit;03/01/2009;49;28359,4;Technology
"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack";03/01/2009;12;123,76;Office Supplies
Avery Heavy-Duty EZD  Binder With Locking Rings;03/01/2009;29;172,51;Office Supplies
Bush Advantage Collection® Round Conference Table;03/01/2009;4;698,0;Furniture
Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright);03/01/2009;15;85,56;Office Supplies
Dixon Prang® Watercolor Pencils, 10-Color Set with Brush;03/01/2009;29;122,23;Office Supplies
36X48 HARDFLOOR CHAIRMAT;03/01/2009;12;262,76;Furniture
Panasonic KX-P2130 Dot Matrix Printer;03/01/2009;4;896,49;Technology
Cardinal Poly Pocket Divider Pockets for Ring Binders;04/01/2009;17;63,34;Office Supplies
"""While you Were Out"" Message Book, One Form per Page";04/01/2009;42;151,35;Office Supplies
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat;04/01/2009;3;1039,56;Furniture
232;05/01/2009;25;2750,11;Technology
"Iceberg OfficeWorks 42"" Round Tables";05/01/2009;49;240,3;Furniture
Panasonic KX-P1150 Dot Matrix Printer;05/01/2009;33;4913,7;Technology
Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base;05/01/2009;41;8958,46;Furniture
Electrix Halogen Magnifier Lamp;05/01/2009;21;4201,08;Furniture
Telescoping Adjustable Floor Lamp;05/01/2009;48;12635,75;Furniture
"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case";05/01/2009;23;725,43;Office Supplies
Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms;05/01/2009;29;653,54;Furniture
Metal Folding Chairs, Beige, 4/Carton;05/01/2009;43;78,08;Furniture
"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H";05/01/2009;43;257,41;Office Supplies
