Produto;Descricao;Categoria;Emissao;Quantidade;Vlr.Unitario;Vlr.Total;Custo Total;Promocao
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/01/2013;15899,0;8,08;128431,0;83480,15;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/02/2013;15189,0;8,25;125271,0;81426,15;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/03/2013;17574,0;8,26;145169,0;94359,85;1
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/04/2013;14382,0;8,21;118009,0;76705,85;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/05/2013;13965,0;8,47;118225,0;76846,25;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/06/2013;13567,0;8,36;113411,0;73717,15;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/07/2013;14714,0;8,7;128032,0;83220,8;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/08/2013;14230,0;8,31;118320,0;76908,0;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/09/2013;13212,0;8,24;108867,0;70763,55;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/10/2013;13960,0;8,21;114641,0;74516,65;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/11/2013;15270,0;8,36;127596,0;82937,4;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/12/2013;16842,0;8,62;145168,0;94359,2;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/01/2014;14442,0;8,23;118814,0;77229,1;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/02/2014;13560,0;8,14;110434,0;71782,1;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/03/2014;14175,0;8,22;116467,0;75703,55;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/04/2014;13562,0;8,5;115292,0;74939,8;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/05/2014;14039,0;8,38;117715,0;76514,75;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/06/2014;12442,0;8,67;107905,0;70138,25;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/07/2014;14035,0;8,74;122604,0;79692,6;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/08/2014;13088,0;8,48;111004,0;72152,6;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/09/2014;12848,0;8,28;106398,0;69158,7;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/10/2014;13483,0;8,52;114897,0;74683,05;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/11/2014;14930,0;8,76;130852,0;85053,8;1
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/12/2014;18160,0;8,87;161026,0;104666,9;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/01/2015;14537,0;8,23;119602,0;77741,3;1
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/02/2015;12953,0;8,23;106635,0;69312,75;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/03/2015;14012,0;8,49;118917,0;77296,05;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/04/2015;12870,0;8,6;110655,0;71925,75;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/05/2015;12052,0;8,73;105220,0;68393,0;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/06/2015;12507,0;8,8;110011,0;71507,15;0
LOJA0001;Loja 1 (Tipo c, Sortimento a);Tipo c;15/07/2015;14024,0;8,65;121266,0;78822,9;0
LOJA0002;Loja 2 (Tipo a, Sortimento a);Tipo a;15/01/2013;14127,0;8,15;115171,0;74861,15;0
LOJA0002;Loja 2 (Tipo a, Sortimento a);Tipo a;15/02/2013;13125,0;8,47;111114,0;72224,1;0
LOJA0002;Loja 2 (Tipo a, Sortimento a);Tipo a;15/03/2013;14894,0;8,76;130525,0;84841,25;1
LOJA0002;Loja 2 (Tipo a, Sortimento a);Tipo a;15/04/2013;14202,0;8,23;116878,0;75970,7;0
LOJA0002;Loja 2 (Tipo a, Sortimento a);Tipo a;15/05/2013;14478,0;8,04;116379,0;75646,35;1
LOJA0002;Loja 2 (Tipo a, Sortimento a);Tipo a;15/06/2013;14276,0;8,12;115871,0;75316,15;0
LOJA0002;Loja 2 (Tipo a, Sortimento a);Tipo a;15/07/2013;17690,0;7,84;138778,0;90205,7;0
LOJA0002;Loja 2 (Tipo a, Sortimento a);Tipo a;15/08/2013;15315,0;8,17;125163,0;81355,95;0
LOJA0002;Loja 2 (Tipo a, Sortimento a);Tipo a;15/09/2013;14278,0;8,34;119081,0;77402,65;0
LOJA0002;Loja 2 (Tipo a, Sortimento a);Tipo a;15/10/2013;14724,0;8,17;120362,0;78235,3;0
LOJA0002;Loja 2 (Tipo a, Sortimento a);Tipo a;15/11/2013;14833,0;8,67;128628,0;83608,2;0
LOJA0002;Loja 2 (Tipo a, Sortimento a);Tipo a;15/12/2013;15854,0;9,47;150214,0;97639,1;0
LOJA0002;Loja 2 (Tipo a, Sortimento a);Tipo a;15/01/2014;14494,0;8,43;122249,0;79461,85;0
LOJA0002;Loja 2 (Tipo a, Sortimento a);Tipo a;15/02/2014;13518,0;8,47;114449,0;74391,85;0
LOJA0002;Loja 2 (Tipo a, Sortimento a);Tipo a;15/03/2014;14695,0;8,51;125031,0;81270,15;0
LOJA0002;Loja 2 (Tipo a, Sortimento a);Tipo a;15/04/2014;14424,0;8,52;122853,0;79854,45;0
LOJA0002;Loja 2 (Tipo a, Sortimento a);Tipo a;15/05/2014;14621,0;8,11;118629,0;77108,85;0
LOJA0002;Loja 2 (Tipo a, Sortimento a);Tipo a;15/06/2014;14395,0;8,53;122758,0;79792,7;0
LOJA0002;Loja 2 (Tipo a, Sortimento a);Tipo a;15/07/2014;16998,0;7,78;132209,0;85935,85;0
LOJA0002;Loja 2 (Tipo a, Sortimento a);Tipo a;15/08/2014;14552,0;8,31;120952,0;78618,8;0
