Vencimento;Valor
03/08/2026;70000
10/08/2026;70000
24/08/2026;108333,33
03/09/2026;70000
07/09/2026;65000
10/09/2026;70000
21/09/2026;76000
24/09/2026;108333,33
03/10/2026;70000
05/10/2026;77500
07/10/2026;65000
10/10/2026;70000
19/10/2026;49000
21/10/2026;76000
24/10/2026;108333,33
03/11/2026;70000
05/11/2026;77500
07/11/2026;65000
09/11/2026;58333,33
10/11/2026;70000
19/11/2026;49000
21/11/2026;76000
24/11/2026;108333,33
03/12/2026;70000
05/12/2026;77500
09/12/2026;58333,33
19/12/2026;49000
21/12/2026;76000
24/12/2026;108333,33
03/01/2027;70000
05/01/2027;77500
09/01/2027;58333,33
19/01/2027;49000
21/01/2027;76000
24/01/2027;108333,33
19/02/2027;49000
