Vencimento;Valor;Conta;Filial
05/08/2026;24252,29;Fornecedor Delta;Loja Centro
06/08/2026;18875,55;Fornecedor Beta;Loja Centro
07/08/2026;46984,87;Fornecedor Alfa;Loja Centro
03/08/2026;3590,47;Fornecedor Gamma;Loja Centro
07/08/2026;13755,92;Fornecedor Delta;Loja Centro
10/08/2026;9159,36;Fornecedor Alfa;Loja Centro
12/08/2026;6651,14;Fornecedor Alfa;Loja Centro
10/08/2026;20249,4;Fornecedor Gamma;Loja Centro
13/08/2026;39723,11;Fornecedor Gamma;Loja Centro
14/08/2026;3920,57;Fornecedor Beta;Loja Centro
21/08/2026;57240,26;Fornecedor Beta;Loja Centro
17/08/2026;99389,02;Fornecedor Alfa;Loja Centro
18/08/2026;1473,96;Fornecedor Delta;Loja Centro
24/08/2026;150918,39;Fornecedor Beta;Loja Centro
27/08/2026;99996,02;Fornecedor Alfa;Loja Centro
24/08/2026;66924,21;Fornecedor Delta;Loja Centro
03/09/2026;61163,72;Fornecedor Delta;Loja Centro
02/09/2026;31071,88;Fornecedor Delta;Loja Centro
04/09/2026;8477,75;Fornecedor Alfa;Loja Centro
03/09/2026;21464;Fornecedor Beta;Loja Centro
31/08/2026;121068,96;Fornecedor Beta;Loja Centro
07/09/2026;38160,89;Fornecedor Gamma;Loja Centro
07/09/2026;103082,56;Fornecedor Delta;Loja Centro
09/09/2026;50633,67;Fornecedor Beta;Loja Centro
08/09/2026;34921,66;Fornecedor Beta;Loja Centro
10/09/2026;1246,26;Fornecedor Beta;Loja Centro
16/09/2026;10322,29;Fornecedor Alfa;Loja Centro
16/09/2026;57375,38;Fornecedor Gamma;Loja Centro
18/09/2026;13454,67;Fornecedor Gamma;Loja Centro
17/09/2026;13680,9;Fornecedor Alfa;Loja Centro
14/09/2026;33169,09;Fornecedor Delta;Loja Centro
23/09/2026;4230,96;Fornecedor Alfa;Loja Centro
22/09/2026;38670,35;Fornecedor Delta;Loja Centro
21/09/2026;192931,19;Fornecedor Gamma;Loja Centro
01/10/2026;10484,48;Fornecedor Beta;Loja Centro
28/09/2026;1519,33;Fornecedor Beta;Loja Centro
01/10/2026;48166,63;Fornecedor Gamma;Loja Centro
28/09/2026;77251,68;Fornecedor Alfa;Loja Centro
02/10/2026;36065,06;Fornecedor Beta;Loja Centro
07/10/2026;2726,55;Fornecedor Alfa;Loja Centro
05/10/2026;455199,61;Fornecedor Delta;Loja Centro
15/10/2026;66680,35;Fornecedor Beta;Loja Centro
12/10/2026;31182,71;Fornecedor Delta;Loja Centro
13/10/2026;68312,55;Fornecedor Gamma;Loja Centro
12/10/2026;802,04;Fornecedor Beta;Loja Centro
15/10/2026;10505,56;Fornecedor Delta;Loja Centro
20/10/2026;22059,58;Fornecedor Beta;Loja Centro
23/10/2026;130306,37;Fornecedor Delta;Loja Centro
26/10/2026;34154,8;Fornecedor Alfa;Loja Centro
29/10/2026;4463,71;Fornecedor Beta;Loja Centro
02/11/2026;147345,27;Fornecedor Beta;Loja Centro
04/11/2026;176721,57;Fornecedor Alfa;Loja Centro
10/11/2026;8121,52;Fornecedor Gamma;Loja Centro
09/11/2026;104086,08;Fornecedor Beta;Loja Centro
16/11/2026;15263,7;Fornecedor Gamma;Loja Centro
20/11/2026;2875,77;Fornecedor Gamma;Loja Centro
