Vencimento;Valor;Filial
05/08/2026;20822,63;Loja Centro
04/08/2026;23217,26;Loja Centro
03/08/2026;57126,07;Loja Centro
05/08/2026;3834,95;Loja Centro
03/08/2026;104127,79;Loja Centro
08/08/2026;21544,48;Loja Centro
13/08/2026;46719,97;Loja Centro
16/08/2026;174687,23;Loja Centro
12/08/2026;16602,9;Loja Centro
11/08/2026;93921,87;Loja Centro
18/08/2026;92077,24;Loja Centro
20/08/2026;24469,57;Loja Centro
18/08/2026;39455,5;Loja Centro
23/08/2026;62000,61;Loja Centro
17/08/2026;2484,22;Loja Centro
23/08/2026;71331,75;Loja Centro
23/08/2026;18838,24;Loja Centro
26/08/2026;14917,44;Loja Centro
29/08/2026;32399,77;Loja Centro
30/08/2026;80897,81;Loja Centro
29/08/2026;177248,97;Loja Centro
03/09/2026;133217,22;Loja Centro
31/08/2026;25062,38;Loja Centro
05/09/2026;8553,34;Loja Centro
01/09/2026;71737,02;Loja Centro
12/09/2026;25427,53;Loja Centro
09/09/2026;22390,95;Loja Centro
10/09/2026;76947,54;Loja Centro
08/09/2026;112643,82;Loja Centro
16/09/2026;151639,5;Loja Centro
17/09/2026;10002,89;Loja Centro
15/09/2026;49343,75;Loja Centro
20/09/2026;10169,79;Loja Centro
16/09/2026;21662,39;Loja Centro
20/09/2026;27009,07;Loja Centro
24/09/2026;132487,36;Loja Centro
21/09/2026;56796,97;Loja Centro
23/09/2026;85934,66;Loja Centro
23/09/2026;13903,05;Loja Centro
03/10/2026;9044,1;Loja Centro
02/10/2026;18962,41;Loja Centro
04/10/2026;21646,13;Loja Centro
03/10/2026;92639,99;Loja Centro
01/10/2026;37681,52;Loja Centro
04/10/2026;30487,92;Loja Centro
02/10/2026;13631,93;Loja Centro
09/10/2026;76949,89;Loja Centro
11/10/2026;29535,07;Loja Centro
06/10/2026;73636,46;Loja Centro
05/10/2026;20627,95;Loja Centro
07/10/2026;41270,37;Loja Centro
11/10/2026;47474,05;Loja Centro
05/10/2026;21974,05;Loja Centro
17/10/2026;3278,78;Loja Centro
16/10/2026;85368,07;Loja Centro
17/10/2026;69253,35;Loja Centro
13/10/2026;141460,68;Loja Centro
23/10/2026;26162,38;Loja Centro
20/10/2026;13170,22;Loja Centro
20/10/2026;27913,64;Loja Centro
21/10/2026;6471,47;Loja Centro
20/10/2026;8247,47;Loja Centro
21/10/2026;43833,88;Loja Centro
24/10/2026;115785,76;Loja Centro
31/10/2026;147152,75;Loja Centro
27/10/2026;48474,64;Loja Centro
27/10/2026;46522,23;Loja Centro
28/10/2026;6969,28;Loja Centro
29/10/2026;23741,37;Loja Centro
27/10/2026;15309,15;Loja Centro
02/11/2026;846,8;Loja Centro
03/11/2026;14264,8;Loja Centro
02/11/2026;5366,52;Loja Centro
02/11/2026;214530,46;Loja Centro
12/11/2026;138781,21;Loja Centro
10/11/2026;5111,77;Loja Centro
09/11/2026;44671,98;Loja Centro
10/11/2026;31180,38;Loja Centro
15/11/2026;9448,19;Loja Centro
14/11/2026;56641,71;Loja Centro
19/11/2026;17526,45;Loja Centro
17/11/2026;121316,24;Loja Centro
19/11/2026;46384,97;Loja Centro
22/11/2026;4161,48;Loja Centro
21/11/2026;73636,11;Loja Centro
26/11/2026;40661,16;Loja Centro
27/11/2026;13146,05;Loja Centro
23/11/2026;43995,71;Loja Centro
25/11/2026;189970,75;Loja Centro
05/12/2026;114207,88;Loja Centro
30/11/2026;12542,42;Loja Centro
03/12/2026;119630,59;Loja Centro
30/11/2026;30954,27;Loja Centro
07/12/2026;65165,04;Loja Centro
09/12/2026;63196,63;Loja Centro
12/12/2026;25402,82;Loja Centro
13/12/2026;111180,27;Loja Centro
13/12/2026;7319,9;Loja Centro
17/12/2026;11209,27;Loja Centro
19/12/2026;8306,34;Loja Centro
14/12/2026;213783,62;Loja Centro
15/12/2026;18775,51;Loja Centro
16/12/2026;36147,87;Loja Centro
23/12/2026;38796,71;Loja Centro
24/12/2026;21220,57;Loja Centro
23/12/2026;68259,49;Loja Centro
24/12/2026;48372,39;Loja Centro
23/12/2026;91662,99;Loja Centro
03/01/2027;45407,01;Loja Centro
29/12/2026;55863,86;Loja Centro
28/12/2026;125377,2;Loja Centro
31/12/2026;11106,74;Loja Centro
29/12/2026;50343,1;Loja Centro
09/01/2027;8212,64;Loja Centro
04/01/2027;64146,61;Loja Centro
07/01/2027;46321,56;Loja Centro
05/01/2027;3610,8;Loja Centro
05/01/2027;65025,97;Loja Centro
09/01/2027;14740,42;Loja Centro
04/01/2027;15787,83;Loja Centro
05/01/2027;73605,52;Loja Centro
12/01/2027;100293,67;Loja Centro
14/01/2027;6453,12;Loja Centro
12/01/2027;15190,99;Loja Centro
17/01/2027;24279,52;Loja Centro
11/01/2027;38067,25;Loja Centro
11/01/2027;66488,32;Loja Centro
23/01/2027;26469,92;Loja Centro
20/01/2027;131314,74;Loja Centro
19/01/2027;64245,89;Loja Centro
21/01/2027;13099,56;Loja Centro
22/01/2027;1077,24;Loja Centro
30/01/2027;228660,89;Loja Centro
30/01/2027;1698,72;Loja Centro
28/01/2027;53690,27;Loja Centro
28/01/2027;23310,85;Loja Centro
07/08/2026;1423,01;Loja Norte
03/08/2026;27217,67;Loja Norte
09/08/2026;28030;Loja Norte
09/08/2026;6632,99;Loja Norte
04/08/2026;45208,47;Loja Norte
03/08/2026;15417,86;Loja Norte
09/08/2026;4853,39;Loja Norte
16/08/2026;6597,48;Loja Norte
11/08/2026;41244,08;Loja Norte
13/08/2026;16741,53;Loja Norte
11/08/2026;21370,66;Loja Norte
16/08/2026;24373,72;Loja Norte
16/08/2026;5615,38;Loja Norte
16/08/2026;10854,97;Loja Norte
18/08/2026;9656,5;Loja Norte
22/08/2026;28398,04;Loja Norte
21/08/2026;4686,37;Loja Norte
19/08/2026;3988,14;Loja Norte
17/08/2026;12421,68;Loja Norte
19/08/2026;1943,31;Loja Norte
18/08/2026;20129,41;Loja Norte
22/08/2026;47101,67;Loja Norte
25/08/2026;60203,4;Loja Norte
24/08/2026;29458,16;Loja Norte
24/08/2026;34743,49;Loja Norte
27/08/2026;10112,54;Loja Norte
25/08/2026;10077,85;Loja Norte
31/08/2026;31100,99;Loja Norte
05/09/2026;15328,7;Loja Norte
06/09/2026;24640,08;Loja Norte
02/09/2026;39053,78;Loja Norte
05/09/2026;1186,71;Loja Norte
31/08/2026;22933,76;Loja Norte
09/09/2026;15429,65;Loja Norte
10/09/2026;102064,48;Loja Norte
12/09/2026;21273,26;Loja Norte
10/09/2026;10058,15;Loja Norte
15/09/2026;34566,23;Loja Norte
20/09/2026;46229,75;Loja Norte
15/09/2026;10999,94;Loja Norte
16/09/2026;1037,29;Loja Norte
15/09/2026;24928,73;Loja Norte
14/09/2026;25898,95;Loja Norte
24/09/2026;20566,15;Loja Norte
23/09/2026;12368,12;Loja Norte
24/09/2026;46833,37;Loja Norte
22/09/2026;38924,13;Loja Norte
27/09/2026;8131,77;Loja Norte
01/10/2026;3114,44;Loja Norte
29/09/2026;1734,3;Loja Norte
30/09/2026;39783,15;Loja Norte
04/10/2026;58150,81;Loja Norte
04/10/2026;50883,6;Loja Norte
06/10/2026;38798,94;Loja Norte
06/10/2026;5021,77;Loja Norte
09/10/2026;3600,23;Loja Norte
05/10/2026;37179,49;Loja Norte
07/10/2026;7243,76;Loja Norte
11/10/2026;7586,62;Loja Norte
05/10/2026;16357,73;Loja Norte
14/10/2026;13000,36;Loja Norte
