Ano;Mês;Conta;Valor;Filial
2024;Abril;Aluguel;-3473,17;Loja Centro
2024;Abril;Aluguel;-1585,19;Loja Norte
2024;Abril;Aluguel;-2371,25;Loja Sul
2024;Abril;CMV;-129549,49;Loja Centro
2024;Abril;CMV;-60367,95;Loja Norte
2024;Abril;CMV;-88693,29;Loja Sul
2024;Abril;CSLL;-2841,98;Loja Centro
2024;Abril;CSLL;-1370,12;Loja Norte
2024;Abril;CSLL;-1979,25;Loja Sul
2024;Abril;Comissões;-7161,03;Loja Centro
2024;Abril;Comissões;-3364,35;Loja Norte
2024;Abril;Comissões;-4952,99;Loja Sul
2024;Abril;Contabilidade;-855,06;Loja Centro
2024;Abril;Contabilidade;-407,14;Loja Norte
2024;Abril;Contabilidade;-595,2;Loja Sul
2024;Abril;Depreciação;-2867,5;Loja Centro
2024;Abril;Depreciação;-1348,81;Loja Norte
2024;Abril;Depreciação;-1975,04;Loja Sul
2024;Abril;Descontos Concedidos;-1428,43;Loja Centro
2024;Abril;Descontos Concedidos;-685,28;Loja Norte
2024;Abril;Descontos Concedidos;-981,96;Loja Sul
2024;Abril;Despesas Financeiras;-1154,85;Loja Centro
2024;Abril;Despesas Financeiras;-529,89;Loja Norte
2024;Abril;Despesas Financeiras;-791,79;Loja Sul
2024;Abril;Devoluções;-2870,32;Loja Centro
2024;Abril;Devoluções;-1353,07;Loja Norte
2024;Abril;Devoluções;-1967,96;Loja Sul
2024;Abril;Energia Elétrica;-1145,41;Loja Centro
2024;Abril;Energia Elétrica;-539,84;Loja Norte
2024;Abril;Energia Elétrica;-791,28;Loja Sul
2024;Abril;Fretes de Produção;-5707,88;Loja Centro
2024;Abril;Fretes de Produção;-2700,7;Loja Norte
2024;Abril;Fretes de Produção;-3974,11;Loja Sul
2024;Abril;IRPJ;-8576,31;Loja Centro
2024;Abril;IRPJ;-4064,15;Loja Norte
2024;Abril;IRPJ;-5933,59;Loja Sul
2024;Abril;Impostos sobre Vendas;-34088,61;Loja Centro
2024;Abril;Impostos sobre Vendas;-16490,6;Loja Norte
2024;Abril;Impostos sobre Vendas;-23716,98;Loja Sul
2024;Abril;Internet e Telefonia;-572,53;Loja Centro
2024;Abril;Internet e Telefonia;-269,49;Loja Norte
2024;Abril;Internet e Telefonia;-396,25;Loja Sul
2024;Abril;Juros Ativos;282,39;Loja Centro
2024;Abril;Juros Ativos;141,24;Loja Norte
2024;Abril;Juros Ativos;194,36;Loja Sul
2024;Abril;Juros Bancários;-571,17;Loja Centro
2024;Abril;Juros Bancários;-269,44;Loja Norte
2024;Abril;Juros Bancários;-397,66;Loja Sul
2024;Abril;Manutenção;-570,61;Loja Centro
2024;Abril;Manutenção;-271,36;Loja Norte
2024;Abril;Manutenção;-396,31;Loja Sul
2024;Abril;Marketing e Publicidade;-5775,6;Loja Centro
2024;Abril;Marketing e Publicidade;-2693,11;Loja Norte
2024;Abril;Marketing e Publicidade;-3913,98;Loja Sul
2024;Abril;Materiais e Insumos;-14229,34;Loja Centro
2024;Abril;Materiais e Insumos;-6799;Loja Norte
2024;Abril;Materiais e Insumos;-9928,4;Loja Sul
2024;Abril;Material de Escritório;-286,96;Loja Centro
2024;Abril;Material de Escritório;-134,7;Loja Norte
2024;Abril;Material de Escritório;-197,47;Loja Sul
2024;Abril;Mão de Obra Direta;-22840,37;Loja Centro
2024;Abril;Mão de Obra Direta;-10820,13;Loja Norte
2024;Abril;Mão de Obra Direta;-15870,31;Loja Sul
2024;Abril;Outras Receitas Operacionais;2790,1;Loja Centro
2024;Abril;Outras Receitas Operacionais;1416,45;Loja Norte
2024;Abril;Outras Receitas Operacionais;1973,45;Loja Sul
2024;Abril;Pró-Labore;-4310,23;Loja Centro
2024;Abril;Pró-Labore;-2022,95;Loja Norte
2024;Abril;Pró-Labore;-2953,84;Loja Sul
2024;Abril;Receita de Serviços;19597,62;Loja Centro
2024;Abril;Receita de Serviços;9843,11;Loja Norte
2024;Abril;Receita de Serviços;13819,26;Loja Sul
2024;Abril;Receita de Vendas;260702,89;Loja Centro
2024;Abril;Receita de Vendas;127043,9;Loja Norte
2024;Abril;Receita de Vendas;180813,21;Loja Sul
2024;Abril;Receitas Financeiras;845,26;Loja Centro
2024;Abril;Receitas Financeiras;422,41;Loja Norte
2024;Abril;Receitas Financeiras;586,33;Loja Sul
2024;Abril;Salários Administrativos;-14293,88;Loja Centro
2024;Abril;Salários Administrativos;-6781,41;Loja Norte
2024;Abril;Salários Administrativos;-9881,46;Loja Sul
2024;Abril;Salários Comerciais;-11486,38;Loja Centro
2024;Abril;Salários Comerciais;-5333,89;Loja Norte
2024;Abril;Salários Comerciais;-7945,12;Loja Sul
2024;Abril;Seguros;-571,2;Loja Centro
2024;Abril;Seguros;-267,73;Loja Norte
2024;Abril;Seguros;-399,35;Loja Sul
2024;Abril;Sistemas e Licenças;-1134,36;Loja Centro
2024;Abril;Sistemas e Licenças;-538,3;Loja Norte
2024;Abril;Sistemas e Licenças;-803,86;Loja Sul
2024;Abril;Tarifas Bancárias;-142,73;Loja Centro
2024;Abril;Tarifas Bancárias;-67,31;Loja Norte
2024;Abril;Tarifas Bancárias;-99,53;Loja Sul
2024;Abril;Treinamentos;-287,87;Loja Centro
2024;Abril;Treinamentos;-133,66;Loja Norte
2024;Abril;Treinamentos;-197,6;Loja Sul
2024;Abril;Viagens Comerciais;-1424,05;Loja Centro
2024;Abril;Viagens Comerciais;-676,83;Loja Norte
2024;Abril;Viagens Comerciais;-994,8;Loja Sul
2024;Agosto;Aluguel;-3550,53;Loja Centro
2024;Agosto;Aluguel;-1672,31;Loja Norte
2024;Agosto;Aluguel;-2451,29;Loja Sul
2024;Agosto;CMV;-132730,04;Loja Centro
2024;Agosto;CMV;-63011,94;Loja Norte
2024;Agosto;CMV;-92037,64;Loja Sul
2024;Agosto;CSLL;-2954,07;Loja Centro
2024;Agosto;CSLL;-1393,68;Loja Norte
2024;Agosto;CSLL;-2047,34;Loja Sul
2024;Agosto;Comissões;-7406,62;Loja Centro
2024;Agosto;Comissões;-3433,08;Loja Norte
2024;Agosto;Comissões;-5148,06;Loja Sul
2024;Agosto;Contabilidade;-888,37;Loja Centro
2024;Agosto;Contabilidade;-417,67;Loja Norte
2024;Agosto;Contabilidade;-612,49;Loja Sul
2024;Agosto;Depreciação;-2956,21;Loja Centro
2024;Agosto;Depreciação;-1393,54;Loja Norte
2024;Agosto;Depreciação;-2045,34;Loja Sul
2024;Agosto;Descontos Concedidos;-1470,28;Loja Centro
2024;Agosto;Descontos Concedidos;-692,8;Loja Norte
2024;Agosto;Descontos Concedidos;-1034,47;Loja Sul
2024;Agosto;Despesas Financeiras;-1180,72;Loja Centro
2024;Agosto;Despesas Financeiras;-555,15;Loja Norte
2024;Agosto;Despesas Financeiras;-822,18;Loja Sul
2024;Agosto;Devoluções;-2969,95;Loja Centro
2024;Agosto;Devoluções;-1367,22;Loja Norte
2024;Agosto;Devoluções;-2057,92;Loja Sul
2024;Agosto;Energia Elétrica;-1182,25;Loja Centro
2024;Agosto;Energia Elétrica;-561;Loja Norte
2024;Agosto;Energia Elétrica;-814,8;Loja Sul
2024;Agosto;Fretes de Produção;-5893,99;Loja Centro
2024;Agosto;Fretes de Produção;-2775,52;Loja Norte
2024;Agosto;Fretes de Produção;-4120,7;Loja Sul
2024;Agosto;IRPJ;-8888,98;Loja Centro
2024;Agosto;IRPJ;-4164,95;Loja Norte
2024;Agosto;IRPJ;-6131,38;Loja Sul
2024;Agosto;Impostos sobre Vendas;-35505,66;Loja Centro
2024;Agosto;Impostos sobre Vendas;-16851,03;Loja Norte
