Ano;Mês;Conta;Valor;Filial
2024;Abril;Aluguel;-75532,2;Loja Centro
2024;Abril;Aluguel;-46553,19;Loja Norte
2024;Abril;Aluguel;-57689,91;Loja Sul
2024;Abril;CMV;-2817356,35;Loja Centro
2024;Abril;CMV;-1772860,62;Loja Norte
2024;Abril;CMV;-2157810,32;Loja Sul
2024;Abril;CSLL;-61805,5;Loja Centro
2024;Abril;CSLL;-40237,11;Loja Norte
2024;Abril;CSLL;-48152,98;Loja Sul
2024;Abril;Comissões;-155733,33;Loja Centro
2024;Abril;Comissões;-98802,82;Loja Norte
2024;Abril;Comissões;-120500,81;Loja Sul
2024;Abril;Contabilidade;-18595,28;Loja Centro
2024;Abril;Contabilidade;-11956,72;Loja Norte
2024;Abril;Contabilidade;-14480,56;Loja Sul
2024;Abril;Depreciação;-62360,49;Loja Centro
2024;Abril;Depreciação;-39611,29;Loja Norte
2024;Abril;Depreciação;-48050,55;Loja Sul
2024;Abril;Descontos Concedidos;-31064,55;Loja Centro
2024;Abril;Descontos Concedidos;-20125,02;Loja Norte
2024;Abril;Descontos Concedidos;-23890,01;Loja Sul
2024;Abril;Despesas Financeiras;-25114,91;Loja Centro
2024;Abril;Despesas Financeiras;-15561,59;Loja Norte
2024;Abril;Despesas Financeiras;-19263,38;Loja Sul
2024;Abril;Devoluções;-62421,81;Loja Centro
2024;Abril;Devoluções;-39736,39;Loja Norte
2024;Abril;Devoluções;-47878,31;Loja Sul
2024;Abril;Energia Elétrica;-24909,62;Loja Centro
2024;Abril;Energia Elétrica;-15853,79;Loja Norte
2024;Abril;Energia Elétrica;-19250,97;Loja Sul
2024;Abril;Fretes de Produção;-124131,19;Loja Centro
2024;Abril;Fretes de Produção;-79313,02;Loja Norte
2024;Abril;Fretes de Produção;-96685,73;Loja Sul
2024;Abril;IRPJ;-186511,9;Loja Centro
2024;Abril;IRPJ;-119354,25;Loja Norte
2024;Abril;IRPJ;-144357,73;Loja Sul
2024;Abril;Impostos sobre Vendas;-741336,47;Loja Centro
2024;Abril;Impostos sobre Vendas;-484289,02;Loja Norte
2024;Abril;Impostos sobre Vendas;-577008,07;Loja Sul
2024;Abril;Internet e Telefonia;-12451;Loja Centro
2024;Abril;Internet e Telefonia;-7914,27;Loja Norte
2024;Abril;Internet e Telefonia;-9640,33;Loja Sul
2024;Abril;Juros Ativos;6141,23;Loja Centro
2024;Abril;Juros Ativos;4147,88;Loja Norte
2024;Abril;Juros Ativos;4728,57;Loja Sul
2024;Abril;Juros Bancários;-12421,43;Loja Centro
2024;Abril;Juros Bancários;-7912,8;Loja Norte
2024;Abril;Juros Bancários;-9674,63;Loja Sul
2024;Abril;Manutenção;-12409,25;Loja Centro
2024;Abril;Manutenção;-7969,19;Loja Norte
2024;Abril;Manutenção;-9641,79;Loja Sul
2024;Abril;Marketing e Publicidade;-125603,92;Loja Centro
2024;Abril;Marketing e Publicidade;-79090,12;Loja Norte
2024;Abril;Marketing e Publicidade;-95222,83;Loja Sul
2024;Abril;Materiais e Insumos;-309450,24;Loja Centro
2024;Abril;Materiais e Insumos;-199670,18;Loja Norte
2024;Abril;Materiais e Insumos;-241547,07;Loja Sul
2024;Abril;Material de Escritório;-6240,62;Loja Centro
2024;Abril;Material de Escritório;-3955,81;Loja Norte
2024;Abril;Material de Escritório;-4804,23;Loja Sul
2024;Abril;Mão de Obra Direta;-496717,21;Loja Centro
2024;Abril;Mão de Obra Direta;-317761,04;Loja Norte
2024;Abril;Mão de Obra Direta;-386107,21;Loja Sul
2024;Abril;Outras Receitas Operacionais;60677,24;Loja Centro
2024;Abril;Outras Receitas Operacionais;41597,71;Loja Norte
2024;Abril;Outras Receitas Operacionais;48011,87;Loja Sul
2024;Abril;Pró-Labore;-93736,02;Loja Centro
2024;Abril;Pró-Labore;-59409,15;Loja Norte
2024;Abril;Pró-Labore;-71863,68;Loja Sul
2024;Abril;Receita de Serviços;426196,04;Loja Centro
2024;Abril;Receita de Serviços;289068,32;Loja Norte
2024;Abril;Receita de Serviços;336207,42;Loja Sul
2024;Abril;Receita de Vendas;5669593,47;Loja Centro
2024;Abril;Receita de Vendas;3730971,93;Loja Norte
2024;Abril;Receita de Vendas;4398986,79;Loja Sul
2024;Abril;Receitas Financeiras;18382,15;Loja Centro
2024;Abril;Receitas Financeiras;12405,16;Loja Norte
2024;Abril;Receitas Financeiras;14264,76;Loja Sul
2024;Abril;Salários Administrativos;-310853,82;Loja Centro
2024;Abril;Salários Administrativos;-199153,6;Loja Norte
2024;Abril;Salários Administrativos;-240405,07;Loja Sul
2024;Abril;Salários Comerciais;-249798,17;Loja Centro
2024;Abril;Salários Comerciais;-156643,44;Loja Norte
2024;Abril;Salários Comerciais;-193296,04;Loja Sul
2024;Abril;Seguros;-12422,08;Loja Centro
2024;Abril;Seguros;-7862,58;Loja Norte
2024;Abril;Seguros;-9715,75;Loja Sul
2024;Abril;Sistemas e Licenças;-24669,31;Loja Centro
2024;Abril;Sistemas e Licenças;-15808,57;Loja Norte
2024;Abril;Sistemas e Licenças;-19557,03;Loja Sul
2024;Abril;Tarifas Bancárias;-3104;Loja Centro
2024;Abril;Tarifas Bancárias;-1976,73;Loja Norte
2024;Abril;Tarifas Bancárias;-2421,46;Loja Sul
2024;Abril;Treinamentos;-6260,41;Loja Centro
2024;Abril;Treinamentos;-3925,27;Loja Norte
2024;Abril;Treinamentos;-4807,39;Loja Sul
2024;Abril;Viagens Comerciais;-30969,29;Loja Centro
2024;Abril;Viagens Comerciais;-19876,86;Loja Norte
2024;Abril;Viagens Comerciais;-24202,39;Loja Sul
2024;Agosto;Aluguel;-65694,85;Loja Centro
2024;Agosto;Aluguel;-41018,43;Loja Norte
2024;Agosto;Aluguel;-50939,83;Loja Sul
2024;Agosto;CMV;-2455881,23;Loja Centro
2024;Agosto;CMV;-1545557,12;Loja Norte
2024;Agosto;CMV;-1912618,32;Loja Sul
2024;Agosto;CSLL;-54658,65;Loja Centro
2024;Agosto;CSLL;-34184,19;Loja Norte
2024;Agosto;CSLL;-42545,42;Loja Sul
2024;Agosto;Comissões;-137043,42;Loja Centro
2024;Agosto;Comissões;-84206,6;Loja Norte
2024;Agosto;Comissões;-106980,95;Loja Sul
2024;Agosto;Contabilidade;-16437,36;Loja Centro
2024;Agosto;Contabilidade;-10244,61;Loja Norte
2024;Agosto;Contabilidade;-12728,05;Loja Sul
2024;Agosto;Depreciação;-54698,25;Loja Centro
2024;Agosto;Depreciação;-34180,75;Loja Norte
2024;Agosto;Depreciação;-42503,86;Loja Sul
2024;Agosto;Descontos Concedidos;-27204,34;Loja Centro
2024;Agosto;Descontos Concedidos;-16993;Loja Norte
2024;Agosto;Descontos Concedidos;-21497,14;Loja Sul
2024;Agosto;Despesas Financeiras;-21846,66;Loja Centro
2024;Agosto;Despesas Financeiras;-13616,72;Loja Norte
2024;Agosto;Despesas Financeiras;-17085,58;Loja Sul
2024;Agosto;Devoluções;-54952,48;Loja Centro
2024;Agosto;Devoluções;-33535,18;Loja Norte
2024;Agosto;Devoluções;-42765,28;Loja Sul
2024;Agosto;Energia Elétrica;-21874,97;Loja Centro
2024;Agosto;Energia Elétrica;-13760,21;Loja Norte
2024;Agosto;Energia Elétrica;-16932,22;Loja Sul
2024;Agosto;Fretes de Produção;-109055,49;Loja Centro
2024;Agosto;Fretes de Produção;-68077,97;Loja Norte
2024;Agosto;Fretes de Produção;-85631,56;Loja Sul
2024;Agosto;IRPJ;-164471,28;Loja Centro
2024;Agosto;IRPJ;-102157,91;Loja Norte
2024;Agosto;IRPJ;-127415,15;Loja Sul
2024;Agosto;Impostos sobre Vendas;-656955,16;Loja Centro
2024;Agosto;Impostos sobre Vendas;-413322,13;Loja Norte
2024;Agosto;Impostos sobre Vendas;-506730,92;Loja Sul
2024;Agosto;Internet e Telefonia;-10985,5;Loja Centro
2024;Agosto;Internet e Telefonia;-6788,37;Loja Norte
2024;Agosto;Internet e Telefonia;-8489,59;Loja Sul
2024;Agosto;Juros Ativos;5425,58;Loja Centro
2024;Agosto;Juros Ativos;3559,75;Loja Norte
2024;Agosto;Juros Ativos;4232,02;Loja Sul
2024;Agosto;Juros Bancários;-10946,27;Loja Centro
2024;Agosto;Juros Bancários;-6800,39;Loja Norte
2024;Agosto;Juros Bancários;-8523,46;Loja Sul
2024;Agosto;Manutenção;-10931,29;Loja Centro
2024;Agosto;Manutenção;-6793,28;Loja Norte
2024;Agosto;Manutenção;-8546,12;Loja Sul
2024;Agosto;Marketing e Publicidade;-109429,99;Loja Centro
2024;Agosto;Marketing e Publicidade;-69152,05;Loja Norte
2024;Agosto;Marketing e Publicidade;-84300,96;Loja Sul
2024;Agosto;Materiais e Insumos;-272176,98;Loja Centro
2024;Agosto;Materiais e Insumos;-171208,41;Loja Norte
2024;Agosto;Materiais e Insumos;-213738,29;Loja Sul
2024;Agosto;Material de Escritório;-5450,75;Loja Centro
2024;Agosto;Material de Escritório;-3407,43;Loja Norte
2024;Agosto;Material de Escritório;-4281,06;Loja Sul
2024;Agosto;Mão de Obra Direta;-438684,87;Loja Centro
2024;Agosto;Mão de Obra Direta;-270117,83;Loja Norte
2024;Agosto;Mão de Obra Direta;-341618,52;Loja Sul
2024;Agosto;Outras Receitas Operacionais;53840,46;Loja Centro
2024;Agosto;Outras Receitas Operacionais;35683,34;Loja Norte
2024;Agosto;Outras Receitas Operacionais;42711,67;Loja Sul
