ano;mes;campo_pai;subconta;valor;filial
2024;jan;contas a receber saldo;Receb. Clientes;44197,23;Loja Sul
2024;fev;contas a receber saldo;Receb. Clientes;45127,29;Loja Sul
2024;mar;contas a receber saldo;Receb. Clientes;48801,62;Loja Sul
2024;abr;contas a receber saldo;Receb. Clientes;45544,62;Loja Sul
2024;mai;contas a receber saldo;Receb. Clientes;51147,15;Loja Sul
2024;jun;contas a receber saldo;Receb. Clientes;56632,9;Loja Sul
2024;jul;contas a receber saldo;Receb. Clientes;48016,29;Loja Sul
2024;ago;contas a receber saldo;Receb. Clientes;46860,34;Loja Sul
2024;set;contas a receber saldo;Receb. Clientes;48307,42;Loja Sul
2024;out;contas a receber saldo;Receb. Clientes;47702,64;Loja Sul
2024;nov;contas a receber saldo;Receb. Clientes;51009,38;Loja Sul
2024;dez;contas a receber saldo;Receb. Clientes;62639,21;Loja Sul
2025;jan;contas a receber saldo;Receb. Clientes;52357,67;Loja Sul
2025;fev;contas a receber saldo;Receb. Clientes;59454,97;Loja Sul
2025;mar;contas a receber saldo;Receb. Clientes;64798,04;Loja Sul
2025;abr;contas a receber saldo;Receb. Clientes;58142,94;Loja Sul
2025;mai;contas a receber saldo;Receb. Clientes;59432,69;Loja Sul
2025;jun;contas a receber saldo;Receb. Clientes;60056,87;Loja Sul
2025;jul;contas a receber saldo;Receb. Clientes;56788,57;Loja Sul
2025;ago;contas a receber saldo;Receb. Clientes;60783,09;Loja Sul
2025;set;contas a receber saldo;Receb. Clientes;58669,12;Loja Sul
2025;out;contas a receber saldo;Receb. Clientes;71062,48;Loja Sul
2025;nov;contas a receber saldo;Receb. Clientes;72495,32;Loja Sul
2025;dez;contas a receber saldo;Receb. Clientes;66280;Loja Sul
2026;jan;contas a receber saldo;Receb. Clientes;60498,45;Loja Sul
2026;fev;contas a receber saldo;Receb. Clientes;69555,28;Loja Sul
2026;mar;contas a receber saldo;Receb. Clientes;74109,18;Loja Sul
2026;abr;contas a receber saldo;Receb. Clientes;75496,8;Loja Sul
2026;mai;contas a receber saldo;Receb. Clientes;58255,23;Loja Sul
2026;jun;contas a receber saldo;Receb. Clientes;69657,34;Loja Sul
2026;jul;contas a receber saldo;Receb. Clientes;86745,56;Loja Sul
2022;jan;Disponibilidades entradas;Receita Serviços;320000;
2022;jan;Disponibilidades entradas;Receita Produtos;95000;
2022;jan;Disponibilidades entradas;Recebimento Clientes;140000;
2022;jan;Disponibilidades entradas;Receita Financeira/Outras;125000;
2022;jan;Disponibilidades Saida;Folha;180000;
2022;jan;Disponibilidades Saida;Fornecedores;125000;
2022;jan;Disponibilidades Saida;Impostos/Operacionais;130000;
2022;jan;Disponibilidades Saida;Investimentos;35000;
2022;fev;Disponibilidades entradas;Receita Serviços;330000;
2022;fev;Disponibilidades entradas;Receita Produtos;98000;
2022;fev;Disponibilidades entradas;Recebimento Clientes;145000;
2022;fev;Disponibilidades entradas;Receita Financeira/Outras;147000;
2022;fev;Disponibilidades Saida;Folha;180000;
2022;fev;Disponibilidades Saida;Fornecedores;128000;
2022;fev;Disponibilidades Saida;Impostos/Operacionais;134000;
2022;fev;Disponibilidades Saida;Investimentos;20000;
2022;mar;Disponibilidades entradas;Receita Serviços;350000;
2022;mar;Disponibilidades entradas;Receita Produtos;102000;
2022;mar;Disponibilidades entradas;Recebimento Clientes;150000;
2022;mar;Disponibilidades entradas;Receita Financeira/Outras;171000;
2022;mar;Disponibilidades Saida;Folha;185000;
2022;mar;Disponibilidades Saida;Fornecedores;132000;
2022;mar;Disponibilidades Saida;Impostos/Operacionais;139000;
2022;mar;Disponibilidades Saida;Investimentos;15000;
2022;abr;Disponibilidades entradas;Receita Serviços;340000;
2022;abr;Disponibilidades entradas;Receita Produtos;96000;
2022;abr;Disponibilidades entradas;Recebimento Clientes;148000;
2022;abr;Disponibilidades entradas;Receita Financeira/Outras;140000;
2022;abr;Disponibilidades Saida;Folha;185000;
2022;abr;Disponibilidades Saida;Fornecedores;130000;
2022;abr;Disponibilidades Saida;Impostos/Operacionais;138000;
2022;abr;Disponibilidades Saida;Investimentos;25000;
2022;mai;Disponibilidades entradas;Receita Serviços;355000;
2022;mai;Disponibilidades entradas;Receita Produtos;104000;
2022;mai;Disponibilidades entradas;Recebimento Clientes;154000;
2022;mai;Disponibilidades entradas;Receita Financeira/Outras;168000;
2022;mai;Disponibilidades Saida;Folha;190000;
2022;mai;Disponibilidades Saida;Fornecedores;134000;
2022;mai;Disponibilidades Saida;Impostos/Operacionais;143000;
2022;mai;Disponibilidades Saida;Investimentos;18000;
2022;jun;Disponibilidades entradas;Receita Serviços;370000;
2022;jun;Disponibilidades entradas;Receita Produtos;108000;
2022;jun;Disponibilidades entradas;Recebimento Clientes;160000;
2022;jun;Disponibilidades entradas;Receita Financeira/Outras;171000;
2022;jun;Disponibilidades Saida;Folha;195000;
2022;jun;Disponibilidades Saida;Fornecedores;140000;
2022;jun;Disponibilidades Saida;Impostos/Operacionais;146000;
2022;jun;Disponibilidades Saida;Investimentos;30000;
2022;jul;Disponibilidades entradas;Receita Serviços;380000;
2022;jul;Disponibilidades entradas;Receita Produtos;112000;
2022;jul;Disponibilidades entradas;Recebimento Clientes;165000;
2022;jul;Disponibilidades entradas;Receita Financeira/Outras;187000;
2022;jul;Disponibilidades Saida;Folha;198000;
2022;jul;Disponibilidades Saida;Fornecedores;145000;
2022;jul;Disponibilidades Saida;Impostos/Operacionais;151000;
2022;jul;Disponibilidades Saida;Investimentos;22000;
2022;ago;Disponibilidades entradas;Receita Serviços;390000;
2022;ago;Disponibilidades entradas;Receita Produtos;115000;
2022;ago;Disponibilidades entradas;Recebimento Clientes;170000;
2022;ago;Disponibilidades entradas;Receita Financeira/Outras;198000;
2022;ago;Disponibilidades Saida;Folha;200000;
2022;ago;Disponibilidades Saida;Fornecedores;148000;
2022;ago;Disponibilidades Saida;Impostos/Operacionais;154000;
2022;ago;Disponibilidades Saida;Investimentos;25000;
2022;set;Disponibilidades entradas;Receita Serviços;395000;
2022;set;Disponibilidades entradas;Receita Produtos;118000;
2022;set;Disponibilidades entradas;Recebimento Clientes;172000;
2022;set;Disponibilidades entradas;Receita Financeira/Outras;207000;
2022;set;Disponibilidades Saida;Folha;202000;
2022;set;Disponibilidades Saida;Fornecedores;150000;
2022;set;Disponibilidades Saida;Impostos/Operacionais;156000;
2022;set;Disponibilidades Saida;Investimentos;20000;
2022;out;Disponibilidades entradas;Receita Serviços;405000;
2022;out;Disponibilidades entradas;Receita Produtos;120000;
