Ano;Mês;Conta;Valor;Filial
2024;Jan;Receita Serviços;138774,07;Loja Centro
2024;Jan;Receita Serviços;80203,68;Loja Norte
2024;Jan;Receita Serviços;101022,25;Loja Sul
2024;Fev;Receita Serviços;144523,96;Loja Centro
2024;Fev;Receita Serviços;82772,56;Loja Norte
2024;Fev;Receita Serviços;102703,48;Loja Sul
2024;Mar;Receita Serviços;156141,69;Loja Centro
2024;Mar;Receita Serviços;79987,86;Loja Norte
2024;Mar;Receita Serviços;113870,45;Loja Sul
2024;Abr;Receita Serviços;158784,97;Loja Centro
2024;Abr;Receita Serviços;76585,51;Loja Norte
2024;Abr;Receita Serviços;104629,52;Loja Sul
2024;Mai;Receita Serviços;161542,59;Loja Centro
2024;Mai;Receita Serviços;75553,27;Loja Norte
2024;Mai;Receita Serviços;117904,14;Loja Sul
2024;Jun;Receita Serviços;159458,57;Loja Centro
2024;Jun;Receita Serviços;79577,84;Loja Norte
2024;Jun;Receita Serviços;130963,59;Loja Sul
2024;Jul;Receita Serviços;182021,3;Loja Centro
2024;Jul;Receita Serviços;87395,73;Loja Norte
2024;Jul;Receita Serviços;110582,97;Loja Sul
2024;Ago;Receita Serviços;185502,56;Loja Centro
2024;Ago;Receita Serviços;96994,31;Loja Norte
2024;Ago;Receita Serviços;107503,13;Loja Sul
2024;Set;Receita Serviços;186664,24;Loja Centro
2024;Set;Receita Serviços;97397,2;Loja Norte
2024;Set;Receita Serviços;110938,56;Loja Sul
2024;Out;Receita Serviços;183616,89;Loja Centro
2024;Out;Receita Serviços;110985,57;Loja Norte
2024;Out;Receita Serviços;110397,54;Loja Sul
2024;Nov;Receita Serviços;187376,69;Loja Centro
2024;Nov;Receita Serviços;113601,42;Loja Norte
2024;Nov;Receita Serviços;119021,89;Loja Sul
2024;Dez;Receita Serviços;196981,35;Loja Centro
2024;Dez;Receita Serviços;104662,62;Loja Norte
2024;Dez;Receita Serviços;148356,03;Loja Sul
2025;Jan;Receita Serviços;190010,76;Loja Centro
2025;Jan;Receita Serviços;74314,56;Loja Norte
2025;Jan;Receita Serviços;119674,68;Loja Sul
2025;Fev;Receita Serviços;176499,33;Loja Centro
2025;Fev;Receita Serviços;84189,35;Loja Norte
2025;Fev;Receita Serviços;135311,32;Loja Sul
2025;Mar;Receita Serviços;180764,87;Loja Centro
2025;Mar;Receita Serviços;88039,69;Loja Norte
2025;Mar;Receita Serviços;151195,43;Loja Sul
2025;Abr;Receita Serviços;190730,5;Loja Centro
2025;Abr;Receita Serviços;83697,87;Loja Norte
2025;Abr;Receita Serviços;133571,63;Loja Sul
2025;Mai;Receita Serviços;185669,9;Loja Centro
2025;Mai;Receita Serviços;103326,16;Loja Norte
2025;Mai;Receita Serviços;137003,94;Loja Sul
2025;Jun;Receita Serviços;205270,78;Loja Centro
2025;Jun;Receita Serviços;99847,71;Loja Norte
2025;Jun;Receita Serviços;138881,52;Loja Sul
2025;Jul;Receita Serviços;205553,13;Loja Centro
2025;Jul;Receita Serviços;119661,08;Loja Norte
2025;Jul;Receita Serviços;130785,8;Loja Sul
2025;Ago;Receita Serviços;218169,72;Loja Centro
2025;Ago;Receita Serviços;110386,72;Loja Norte
2025;Ago;Receita Serviços;139443,56;Loja Sul
2025;Set;Receita Serviços;228288,2;Loja Centro
2025;Set;Receita Serviços;110977,47;Loja Norte
2025;Set;Receita Serviços;134734,33;Loja Sul
2025;Out;Receita Serviços;206259,97;Loja Centro
2025;Out;Receita Serviços;115281,15;Loja Norte
2025;Out;Receita Serviços;164458,87;Loja Sul
2025;Nov;Receita Serviços;225801,36;Loja Centro
2025;Nov;Receita Serviços;109042,89;Loja Norte
2025;Nov;Receita Serviços;169155,75;Loja Sul
2025;Dez;Receita Serviços;276065,36;Loja Centro
2025;Dez;Receita Serviços;106955,69;Loja Norte
2025;Dez;Receita Serviços;156978,94;Loja Sul
2026;Jan;Receita Serviços;209711,74;Loja Centro
2026;Jan;Receita Serviços;116006,09;Loja Norte
2026;Jan;Receita Serviços;138282,18;Loja Sul
2026;Fev;Receita Serviços;222354,67;Loja Centro
2026;Fev;Receita Serviços;97847,11;Loja Norte
2026;Fev;Receita Serviços;158298,22;Loja Sul
2026;Mar;Receita Serviços;225643,31;Loja Centro
2026;Mar;Receita Serviços;108935,27;Loja Norte
2026;Mar;Receita Serviços;172921,42;Loja Sul
2026;Abr;Receita Serviços;214671,05;Loja Centro
2026;Abr;Receita Serviços;104890,35;Loja Norte
2026;Abr;Receita Serviços;173438,6;Loja Sul
2026;Mai;Receita Serviços;255333,51;Loja Centro
2026;Mai;Receita Serviços;125126,84;Loja Norte
2026;Mai;Receita Serviços;134289,65;Loja Sul
2026;Jun;Receita Serviços;250231,71;Loja Centro
2026;Jun;Receita Serviços;125185,7;Loja Norte
2026;Jun;Receita Serviços;161082,59;Loja Sul
2026;Jul;Receita Serviços;214463,72;Loja Centro
2026;Jul;Receita Serviços;136758,62;Loja Norte
2026;Jul;Receita Serviços;199777,66;Loja Sul
2024;Jan;Receita Produtos;41198,55;Loja Centro
2024;Jan;Receita Produtos;23810,47;Loja Norte
2024;Jan;Receita Produtos;29990,98;Loja Sul
2024;Fev;Receita Produtos;42919,24;Loja Centro
2024;Fev;Receita Produtos;24580,94;Loja Norte
2024;Fev;Receita Produtos;30499,82;Loja Sul
2024;Mar;Receita Produtos;45504,15;Loja Centro
2024;Mar;Receita Produtos;23310,75;Loja Norte
2024;Mar;Receita Produtos;33185,1;Loja Sul
2024;Abr;Receita Produtos;44833,4;Loja Centro
2024;Abr;Receita Produtos;21624,14;Loja Norte
2024;Abr;Receita Produtos;29542,45;Loja Sul
2024;Mai;Receita Produtos;47325,15;Loja Centro
2024;Mai;Receita Produtos;22133,92;Loja Norte
2024;Mai;Receita Produtos;34540,93;Loja Sul
2024;Jun;Receita Produtos;46544,66;Loja Centro
2024;Jun;Receita Produtos;23228,13;Loja Norte
2024;Jun;Receita Produtos;38227,21;Loja Sul
2024;Jul;Receita Produtos;53648,38;Loja Centro
2024;Jul;Receita Produtos;25758,74;Loja Norte
2024;Jul;Receita Produtos;32592,87;Loja Sul
2024;Ago;Receita Produtos;54699,47;Loja Centro
2024;Ago;Receita Produtos;28600,89;Loja Norte
2024;Ago;Receita Produtos;31699,64;Loja Sul
2024;Set;Receita Produtos;55762,99;Loja Centro
2024;Set;Receita Produtos;29095,87;Loja Norte
2024;Set;Receita Produtos;33141,14;Loja Sul
2024;Out;Receita Produtos;54405;Loja Centro
2024;Out;Receita Produtos;32884,61;Loja Norte
2024;Out;Receita Produtos;32710,38;Loja Sul
2024;Nov;Receita Produtos;55766,87;Loja Centro
2024;Nov;Receita Produtos;33809,95;Loja Norte
2024;Nov;Receita Produtos;35423,18;Loja Sul
2024;Dez;Receita Produtos;59094,41;Loja Centro
2024;Dez;Receita Produtos;31398,79;Loja Norte
2024;Dez;Receita Produtos;44506,81;Loja Sul
2025;Jan;Receita Produtos;56409,45;Loja Centro
2025;Jan;Receita Produtos;22062,13;Loja Norte
2025;Jan;Receita Produtos;35528,42;Loja Sul
2025;Fev;Receita Produtos;52414,95;Loja Centro
2025;Fev;Receita Produtos;25001,69;Loja Norte
2025;Fev;Receita Produtos;40183,36;Loja Sul
2025;Mar;Receita Produtos;52680,05;Loja Centro
2025;Mar;Receita Produtos;25657,28;Loja Norte
2025;Mar;Receita Produtos;44062,67;Loja Sul
2025;Abr;Receita Produtos;53853,32;Loja Centro
2025;Abr;Receita Produtos;23632,34;Loja Norte
2025;Abr;Receita Produtos;37714,34;Loja Sul
2025;Mai;Receita Produtos;54393,43;Loja Centro
2025;Mai;Receita Produtos;30270,2;Loja Norte
2025;Mai;Receita Produtos;40136,37;Loja Sul
2025;Jun;Receita Produtos;59916,88;Loja Centro
2025;Jun;Receita Produtos;29144,74;Loja Norte
2025;Jun;Receita Produtos;40538,39;Loja Sul
2025;Jul;Receita Produtos;60584,08;Loja Centro
2025;Jul;Receita Produtos;35268,53;Loja Norte
2025;Jul;Receita Produtos;38547,39;Loja Sul
2025;Ago;Receita Produtos;64332,1;Loja Centro
2025;Ago;Receita Produtos;32549,93;Loja Norte
2025;Ago;Receita Produtos;41117,97;Loja Sul
2025;Set;Receita Produtos;68197,49;Loja Centro
2025;Set;Receita Produtos;33152,76;Loja Norte
2025;Set;Receita Produtos;40249,75;Loja Sul
2025;Out;Receita Produtos;61114,07;Loja Centro
2025;Out;Receita Produtos;34157,38;Loja Norte
2025;Out;Receita Produtos;48728,56;Loja Sul
2025;Nov;Receita Produtos;67202,79;Loja Centro
2025;Nov;Receita Produtos;32453,24;Loja Norte
2025;Nov;Receita Produtos;50343,97;Loja Sul
2025;Dez;Receita Produtos;82819,61;Loja Centro
2025;Dez;Receita Produtos;32086,71;Loja Norte
2025;Dez;Receita Produtos;47093,68;Loja Sul
2026;Jan;Receita Produtos;62258,17;Loja Centro
2026;Jan;Receita Produtos;34439,31;Loja Norte
2026;Jan;Receita Produtos;41052,52;Loja Sul
2026;Fev;Receita Produtos;66032,6;Loja Centro
2026;Fev;Receita Produtos;29057,63;Loja Norte
2026;Fev;Receita Produtos;47009,77;Loja Sul
2026;Mar;Receita Produtos;65758,91;Loja Centro
2026;Mar;Receita Produtos;31746,85;Loja Norte
2026;Mar;Receita Produtos;50394,24;Loja Sul
2026;Abr;Receita Produtos;60613;Loja Centro
2026;Abr;Receita Produtos;29616,1;Loja Norte
2026;Abr;Receita Produtos;48970,9;Loja Sul
2026;Mai;Receita Produtos;74801,93;Loja Centro
2026;Mai;Receita Produtos;36656,88;Loja Norte
2026;Mai;Receita Produtos;39341,19;Loja Sul
2026;Jun;Receita Produtos;73040,61;Loja Centro
2026;Jun;Receita Produtos;36540,69;Loja Norte
2026;Jun;Receita Produtos;47018,7;Loja Sul
2026;Jul;Receita Produtos;63210,36;Loja Centro
2026;Jul;Receita Produtos;40307,8;Loja Norte
2026;Jul;Receita Produtos;58881,84;Loja Sul
2024;Jan;Receb. Clientes;60713,66;Loja Centro
2024;Jan;Receb. Clientes;35089,11;Loja Norte
2024;Jan;Receb. Clientes;44197,23;Loja Sul
2024;Fev;Receb. Clientes;63502,95;Loja Centro
2024;Fev;Receb. Clientes;36369,76;Loja Norte
2024;Fev;Receb. Clientes;45127,29;Loja Sul
2024;Mar;Receb. Clientes;66917,87;Loja Centro
2024;Mar;Receb. Clientes;34280,51;Loja Norte
2024;Mar;Receb. Clientes;48801,62;Loja Sul
2024;Abr;Receb. Clientes;69118,16;Loja Centro
2024;Abr;Receb. Clientes;33337,22;Loja Norte
2024;Abr;Receb. Clientes;45544,62;Loja Sul
2024;Mai;Receb. Clientes;70077,63;Loja Centro
2024;Mai;Receb. Clientes;32775,22;Loja Norte
2024;Mai;Receb. Clientes;51147,15;Loja Sul
2024;Jun;Receb. Clientes;68955,06;Loja Centro
2024;Jun;Receb. Clientes;34412,04;Loja Norte
2024;Jun;Receb. Clientes;56632,9;Loja Sul
2024;Jul;Receb. Clientes;79035,57;Loja Centro
2024;Jul;Receb. Clientes;37948,14;Loja Norte
2024;Jul;Receb. Clientes;48016,29;Loja Sul
2024;Ago;Receb. Clientes;80860,09;Loja Centro
2024;Ago;Receb. Clientes;42279,57;Loja Norte
2024;Ago;Receb. Clientes;46860,34;Loja Sul
2024;Set;Receb. Clientes;81281,64;Loja Centro
2024;Set;Receb. Clientes;42410,93;Loja Norte
2024;Set;Receb. Clientes;48307,42;Loja Sul
2024;Out;Receb. Clientes;79340,63;Loja Centro
2024;Out;Receb. Clientes;47956,73;Loja Norte
2024;Out;Receb. Clientes;47702,64;Loja Sul
2024;Nov;Receb. Clientes;80304,29;Loja Centro
2024;Nov;Receb. Clientes;48686,32;Loja Norte
2024;Nov;Receb. Clientes;51009,38;Loja Sul
2024;Dez;Receb. Clientes;83169,9;Loja Centro
2024;Dez;Receb. Clientes;44190,89;Loja Norte
2024;Dez;Receb. Clientes;62639,21;Loja Sul
2025;Jan;Receb. Clientes;83129,71;Loja Centro
2025;Jan;Receb. Clientes;32512,62;Loja Norte
2025;Jan;Receb. Clientes;52357,67;Loja Sul
2025;Fev;Receb. Clientes;77552,74;Loja Centro
2025;Fev;Receb. Clientes;36992,29;Loja Norte
2025;Fev;Receb. Clientes;59454,97;Loja Sul
2025;Mar;Receb. Clientes;77470,66;Loja Centro
2025;Mar;Receb. Clientes;37731,3;Loja Norte
2025;Mar;Receb. Clientes;64798,04;Loja Sul
2025;Abr;Receb. Clientes;83023,87;Loja Centro
2025;Abr;Receb. Clientes;36433,19;Loja Norte
2025;Abr;Receb. Clientes;58142,94;Loja Sul
2025;Mai;Receb. Clientes;80544,12;Loja Centro
2025;Mai;Receb. Clientes;44823,18;Loja Norte
2025;Mai;Receb. Clientes;59432,69;Loja Sul
2025;Jun;Receb. Clientes;88765,74;Loja Centro
2025;Jun;Receb. Clientes;43177,39;Loja Norte
2025;Jun;Receb. Clientes;60056,87;Loja Sul
2025;Jul;Receb. Clientes;89253,33;Loja Centro
2025;Jul;Receb. Clientes;51958,1;Loja Norte
2025;Jul;Receb. Clientes;56788,57;Loja Sul
2025;Ago;Receb. Clientes;95099,62;Loja Centro
2025;Ago;Receb. Clientes;48117,29;Loja Norte
2025;Ago;Receb. Clientes;60783,09;Loja Sul
2025;Set;Receb. Clientes;99406,51;Loja Centro
2025;Set;Receb. Clientes;48324,37;Loja Norte
2025;Set;Receb. Clientes;58669,12;Loja Sul
2025;Out;Receb. Clientes;89124,68;Loja Centro
2025;Out;Receb. Clientes;49812,84;Loja Norte
2025;Out;Receb. Clientes;71062,48;Loja Sul
2025;Nov;Receb. Clientes;96772,01;Loja Centro
2025;Nov;Receb. Clientes;46732,67;Loja Norte
2025;Nov;Receb. Clientes;72495,32;Loja Sul
2025;Dez;Receb. Clientes;116560,93;Loja Centro
2025;Dez;Receb. Clientes;45159,07;Loja Norte
2025;Dez;Receb. Clientes;66280;Loja Sul
