Ano;Mês;Conta;Valor;Filial
2024;Jan;Receita Serviços;3010824,51;Loja Centro
2024;Jan;Receita Serviços;2294692,39;Loja Norte
2024;Jan;Receita Serviços;2495803,6;Loja Sul
2024;Fev;Receita Serviços;3238327,68;Loja Centro
2024;Fev;Receita Serviços;2404989,53;Loja Norte
2024;Fev;Receita Serviços;2554593,95;Loja Sul
2024;Mar;Receita Serviços;3480862,49;Loja Centro
2024;Mar;Receita Serviços;2350601,61;Loja Norte
2024;Mar;Receita Serviços;2839294,73;Loja Sul
2024;Abr;Receita Serviços;3453150,17;Loja Centro
2024;Abr;Receita Serviços;2249131,11;Loja Norte
2024;Abr;Receita Serviços;2545521,29;Loja Sul
2024;Mai;Receita Serviços;3454157,55;Loja Centro
2024;Mai;Receita Serviços;2045115,93;Loja Norte
2024;Mai;Receita Serviços;2782731,48;Loja Sul
2024;Jun;Receita Serviços;3222271,79;Loja Centro
2024;Jun;Receita Serviços;2097168,57;Loja Norte
2024;Jun;Receita Serviços;2932506,57;Loja Sul
2024;Jul;Receita Serviços;3502810,31;Loja Centro
2024;Jul;Receita Serviços;2191145,04;Loja Norte
2024;Jul;Receita Serviços;2401929,68;Loja Sul
2024;Ago;Receita Serviços;3432322,15;Loja Centro
2024;Ago;Receita Serviços;2379076,83;Loja Norte
2024;Ago;Receita Serviços;2234004;Loja Sul
2024;Set;Receita Serviços;3362000,61;Loja Centro
2024;Set;Receita Serviços;2339842,78;Loja Norte
2024;Set;Receita Serviços;2254503,37;Loja Sul
2024;Out;Receita Serviços;3327454,22;Loja Centro
2024;Out;Receita Serviços;2648680,39;Loja Norte
2024;Out;Receita Serviços;2246780,12;Loja Sul
2024;Nov;Receita Serviços;4773332,04;Loja Centro
2024;Nov;Receita Serviços;3704891,92;Loja Norte
2024;Nov;Receita Serviços;3371535,41;Loja Sul
2024;Dez;Receita Serviços;5909756,23;Loja Centro
2024;Dez;Receita Serviços;4074971,97;Loja Norte
2024;Dez;Receita Serviços;4980006,85;Loja Sul
2025;Jan;Receita Serviços;3801046,63;Loja Centro
2025;Jan;Receita Serviços;1942428,04;Loja Norte
2025;Jan;Receita Serviços;2657301,39;Loja Sul
2025;Fev;Receita Serviços;3638615,32;Loja Centro
2025;Fev;Receita Serviços;2262028,64;Loja Norte
2025;Fev;Receita Serviços;3051953,27;Loja Sul
2025;Mar;Receita Serviços;3690678,77;Loja Centro
2025;Mar;Receita Serviços;2342678,22;Loja Norte
2025;Mar;Receita Serviços;3418027,01;Loja Sul
2025;Abr;Receita Serviços;3810347,15;Loja Centro
2025;Abr;Receita Serviços;2208834,96;Loja Norte
2025;Abr;Receita Serviços;3015061,07;Loja Sul
2025;Mai;Receita Serviços;3636246,34;Loja Centro
2025;Mai;Receita Serviços;2666362,17;Loja Norte
2025;Mai;Receita Serviços;2969660,49;Loja Sul
2025;Jun;Receita Serviços;3876579,87;Loja Centro
2025;Jun;Receita Serviços;2457244,46;Loja Norte
2025;Jun;Receita Serviços;2906245,17;Loja Sul
2025;Jul;Receita Serviços;3709357,05;Loja Centro
2025;Jul;Receita Serviços;2920736,34;Loja Norte
2025;Jul;Receita Serviços;2633647,05;Loja Sul
2025;Ago;Receita Serviços;3847111,57;Loja Centro
2025;Ago;Receita Serviços;2537749,98;Loja Norte
2025;Ago;Receita Serviços;2765880,91;Loja Sul
2025;Set;Receita Serviços;4010876,79;Loja Centro
2025;Set;Receita Serviços;2546668,3;Loja Norte
2025;Set;Receita Serviços;2678916,7;Loja Sul
2025;Out;Receita Serviços;3693875,02;Loja Centro
2025;Out;Receita Serviços;2660953,03;Loja Norte
2025;Out;Receita Serviços;3264525,74;Loja Sul
2025;Nov;Receita Serviços;5612812,73;Loja Centro
2025;Nov;Receita Serviços;3558751,34;Loja Norte
2025;Nov;Receita Serviços;4696327,38;Loja Sul
2025;Dez;Receita Serviços;8367283,94;Loja Centro
2025;Dez;Receita Serviços;4122337,59;Loja Norte
2025;Dez;Receita Serviços;5194319,87;Loja Sul
2026;Jan;Receita Serviços;4271828,48;Loja Centro
2026;Jan;Receita Serviços;3017014,16;Loja Norte
2026;Jan;Receita Serviços;3162605,56;Loja Sul
2026;Fev;Receita Serviços;4639700,85;Loja Centro
2026;Fev;Receita Serviços;2644934,99;Loja Norte
2026;Fev;Receita Serviços;3708745,97;Loja Sul
2026;Mar;Receita Serviços;4845761,74;Loja Centro
2026;Mar;Receita Serviços;2961521,01;Loja Norte
