Vencimento;Valor
06/08/2026;101666,67
14/08/2026;85000
28/08/2026;148333,33
06/09/2026;101666,67
11/09/2026;86666,67
14/09/2026;85000
25/09/2026;104000
28/09/2026;148333,33
06/10/2026;101666,67
09/10/2026;112500
11/10/2026;86666,67
14/10/2026;85000
23/10/2026;76000
25/10/2026;104000
28/10/2026;148333,33
06/11/2026;101666,67
09/11/2026;112500
11/11/2026;86666,67
13/11/2026;98333,33
14/11/2026;85000
23/11/2026;76000
25/11/2026;104000
28/11/2026;148333,33
06/12/2026;101666,67
09/12/2026;112500
13/12/2026;98333,33
23/12/2026;76000
25/12/2026;104000
28/12/2026;148333,33
06/01/2027;101666,67
09/01/2027;112500
13/01/2027;98333,33
23/01/2027;76000
25/01/2027;104000
28/01/2027;148333,33
23/02/2027;76000
